source,target,dt_formatted,size,perplexity,scratch_perplexity,dt,de,df,fraction_of_effective_dt,df_formatted,de_formatted
ru,zh,14.52 MB,6000000,4.859813195,15.31434545,15223660.88,21223660.88,6000000,0.7172966515,5.72 MB,20.24 MB
fi,zh,16.25 MB,6000000,4.80568696,15.31434545,17036512.33,23036512.33,6000000,0.7395439069,5.72 MB,21.97 MB
id,zh,19.56 MB,6000000,4.702056659,15.31434545,20507404.79,26507404.79,6000000,0.7736481543,5.72 MB,25.28 MB
es,zh,23.19 MB,6000000,4.588256021,15.31434545,24318932.61,30318932.61,6000000,0.8021038512,5.72 MB,28.91 MB
ar,zh,24.64 MB,6000000,4.543056394,15.31434545,25832804.94,31832804.94,6000000,0.811515196,5.72 MB,30.36 MB
zh,de,27.20 MB,6000000,4.358378132,14.84059008,28522342.44,34522342.44,6000000,0.8261995109,5.72 MB,32.92 MB
de,zh,27.59 MB,6000000,4.450426792,15.31434545,28935250.66,34935250.66,6000000,0.8282537012,5.72 MB,33.32 MB
pt,zh,27.74 MB,6000000,4.44597859,15.31434545,29084234.42,35084234.42,6000000,0.8289830148,5.72 MB,33.46 MB
en,zh,29.07 MB,6000000,4.404382201,15.31434545,30477423.41,36477423.41,6000000,0.8355146981,5.72 MB,34.79 MB
ru,de,36.27 MB,6000000,4.197545711,14.84059008,38035415.17,44035415.17,6000000,0.8637460331,5.72 MB,42.00 MB
ko,zh,37.39 MB,6000000,4.143745131,15.31434545,39206947.77,45206947.77,6000000,0.8672770382,5.72 MB,43.11 MB
ar,de,39.28 MB,6000000,4.144159527,14.84059008,41193153.25,47193153.25,6000000,0.8728629136,5.72 MB,45.01 MB
ru,ja,42.13 MB,6000000,4.403061084,12.4510605,44181079.98,50181079.98,6000000,0.8804330237,5.72 MB,47.86 MB
fi,ja,43.61 MB,6000000,4.268660168,12.4510605,45728666.15,51728666.15,6000000,0.8840101544,5.72 MB,49.33 MB
ja,zh,43.68 MB,6000000,3.946779777,15.31434545,45803913.67,51803913.67,6000000,0.8841786349,5.72 MB,49.40 MB
ja,de,44.17 MB,6000000,4.057633817,14.84059008,46311060.24,52311060.24,6000000,0.8853015027,5.72 MB,49.89 MB
id,ja,45.03 MB,6000000,4.139189518,12.4510605,47219481.79,53219481.79,6000000,0.8872593306,5.72 MB,50.75 MB
fi,ko,45.27 MB,6000000,3.884133804,11.65434416,47467797.14,53467797.14,6000000,0.8877829213,5.72 MB,50.99 MB
ru,ko,45.99 MB,6000000,3.820571428,11.65434416,48220330.16,54220330.16,6000000,0.8893404009,5.72 MB,51.71 MB
es,ja,46.03 MB,6000000,4.047907172,12.4510605,48270570.57,54270570.57,6000000,0.8894428428,5.72 MB,51.76 MB
de,ko,46.56 MB,6000000,3.770094246,11.65434416,48817943.86,54817943.86,6000000,0.8905467886,5.72 MB,52.28 MB
id,ko,46.67 MB,6000000,3.760304733,11.65434416,48933844.69,54933844.69,6000000,0.8907777157,5.72 MB,52.39 MB
es,ko,46.87 MB,6000000,3.741924308,11.65434416,49151455.76,55151455.76,6000000,0.891208674,5.72 MB,52.60 MB
ar,ja,47.20 MB,6000000,3.942046481,12.4510605,49489524.61,55489524.61,6000000,0.8918714831,5.72 MB,52.92 MB
en,ja,47.21 MB,6000000,3.941258151,12.4510605,49498602,55498602,6000000,0.8918891687,5.72 MB,52.93 MB
de,ja,47.27 MB,6000000,3.93574425,12.4510605,49562092.91,55562092.91,6000000,0.8920127071,5.72 MB,52.99 MB
ko,de,47.30 MB,6000000,4.002023067,14.84059008,49600379.06,55600379.06,6000000,0.8920870667,5.72 MB,53.02 MB
pt,ja,47.31 MB,6000000,3.931417312,12.4510605,49611916.31,55611916.31,6000000,0.8921094543,5.72 MB,53.04 MB
pt,ko,47.32 MB,6000000,3.702839656,11.65434416,49614190.05,55614190.05,6000000,0.8921138653,5.72 MB,53.04 MB
ar,ko,47.52 MB,6000000,3.685108615,11.65434416,49824112.89,55824112.89,6000000,0.8925195639,5.72 MB,53.24 MB
en,ko,48.08 MB,6000000,3.634966882,11.65434416,50417755.11,56417755.11,6000000,0.8936505008,5.72 MB,53.80 MB
zh,fi,48.78 MB,6000000,4.100053408,12.70105423,51144907.15,57144907.15,6000000,0.8950037667,5.72 MB,54.50 MB
zh,ko,49.09 MB,6000000,3.545573769,11.65434416,51476105.56,57476105.56,6000000,0.8956087936,5.72 MB,54.81 MB
zh,es,49.21 MB,6000000,3.893077594,12.52516725,51601684.12,57601684.12,6000000,0.8958363789,5.72 MB,54.93 MB
zh,id,49.25 MB,6000000,3.053535196,11.98069974,51646797.36,57646797.36,6000000,0.8959178953,5.72 MB,54.98 MB
