source,target,dt_formatted,size,perplexity,scratch_perplexity,dt,de,df,fraction_of_effective_dt,df_formatted,de_formatted
es,zh,12.30 MB,6000000,8.112081552,15.31434545,12899310.08,18899310.08,6000000,0.6825280936,5.72 MB,18.02 MB
en,zh,15.66 MB,6000000,4.82399296,15.31434545,16423389,22423389,6000000,0.7324222489,5.72 MB,21.38 MB
es,ja,18.16 MB,6000000,6.586664008,12.4510605,19037548.4,25037548.4,6000000,0.7603599241,5.72 MB,23.88 MB
es,ko,27.52 MB,6000000,5.45654115,11.65434416,28851619.95,34851619.95,6000000,0.827841575,5.72 MB,33.24 MB
ru,zh,32.51 MB,6000000,4.296560848,15.31434545,34088686.85,40088686.85,6000000,0.8503318399,5.72 MB,38.23 MB
pt,zh,32.53 MB,6000000,4.296024242,15.31434545,34106659.44,40106659.44,6000000,0.8503989092,5.72 MB,38.25 MB
ar,zh,33.00 MB,6000000,4.281308555,15.31434545,34599532.33,40599532.33,6000000,0.8522150464,5.72 MB,38.72 MB
id,zh,33.54 MB,6000000,4.264203027,15.31434545,35172448.23,41172448.23,6000000,0.8542714787,5.72 MB,39.27 MB
de,zh,34.88 MB,6000000,4.222343476,15.31434545,36574451.3,42574451.3,6000000,0.8590704092,5.72 MB,40.60 MB
es,ru,39.90 MB,6000000,3.228949009,6.265152941,41841501.98,47841501.98,6000000,0.8745858773,5.72 MB,45.63 MB
en,ko,41.70 MB,6000000,4.200384631,11.65434416,43723613.77,49723613.77,6000000,0.879332986,5.72 MB,47.42 MB
ko,zh,43.18 MB,6000000,3.962539074,15.31434545,45276087.12,51276087.12,6000000,0.8829863912,5.72 MB,48.90 MB
en,ja,44.59 MB,6000000,4.179402526,12.4510605,46756441.08,52756441.08,6000000,0.8862698113,5.72 MB,50.31 MB
es,ar,45.18 MB,6000000,3.48725537,6.465245596,47369492.43,53369492.43,6000000,0.8875762214,5.72 MB,50.90 MB
ja,ko,46.71 MB,6000000,3.756369754,11.65434416,48980432.02,54980432.02,6000000,0.8908702646,5.72 MB,52.43 MB
zh,de,47.23 MB,6000000,4.003382385,14.84059008,49519976.81,55519976.81,6000000,0.8919307906,5.72 MB,52.95 MB
